Name: 
Address: 
Number	Record Time	Temperature(°C)	Humidity(%)
 1	 2023-12-20 12:39:26	 15.9	 47
 2	 2023-12-20 12:40:26	 15.9	 47
 3	 2023-12-20 12:41:26	 15.9	 47
 4	 2023-12-20 12:42:26	 15.9	 47
 5	 2023-12-20 12:43:26	 15.9	 47
 6	 2023-12-20 12:44:26	 15.9	 47
 7	 2023-12-20 12:45:26	 15.9	 47
 8	 2023-12-20 12:46:26	 15.9	 47
 9	 2023-12-20 12:47:26	 15.9	 47
 10	 2023-12-20 12:48:26	 15.9	 47
 11	 2023-12-20 12:49:26	 15.9	 47
 12	 2023-12-20 12:50:26	 15.9	 47
 13	 2023-12-20 12:51:26	 15.9	 47
 14	 2023-12-20 12:52:26	 15.9	 47
 15	 2023-12-20 12:53:26	 16.4	 47
 16	 2023-12-20 12:54:00	 16.9	 50
 17	 2023-12-20 12:54:16	 17.2	 50
 18	 2023-12-20 12:54:32	 17.6	 45
 19	 2023-12-20 12:54:48	 17.9	 46
 20	 2023-12-20 12:55:04	 18.1	 45
 21	 2023-12-20 12:55:20	 18.1	 45
 22	 2023-12-20 12:55:36	 18.1	 45
 23	 2023-12-20 12:55:52	 18.1	 44
 24	 2023-12-20 12:56:08	 18.2	 44
 25	 2023-12-20 12:56:24	 18.2	 44
 26	 2023-12-20 12:56:40	 18.2	 44
 27	 2023-12-20 12:56:56	 18.2	 43
 28	 2023-12-20 12:57:12	 18.1	 43
 29	 2023-12-20 12:57:28	 18.1	 43
 30	 2023-12-20 12:57:44	 18.1	 43
 31	 2023-12-20 12:58:00	 18.0	 42
 32	 2023-12-20 12:58:16	 17.9	 42
 33	 2023-12-20 12:58:32	 17.9	 42
 34	 2023-12-20 12:58:48	 17.8	 42
 35	 2023-12-20 12:59:04	 17.7	 41
 36	 2023-12-20 12:59:20	 17.7	 41
 37	 2023-12-20 12:59:36	 17.6	 41
 38	 2023-12-20 12:59:52	 17.6	 41
 39	 2023-12-20 13:00:08	 17.5	 41
 40	 2023-12-20 13:00:24	 17.4	 44
